PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1642400,Tristan Enaruna,Tristan,1610612738,BOS,24.0,3,1,2,0.333,14.7,1.7,3.3,0.5,0.0,1.0,0.0,0.3,0.7,0.5,0.3,0.7,1.0,0.0,0.3,1.0,0.7,0.0,0.3,0.7,3.7,-6.3,9.5,0,0,8.0,1351,1347,1251,1197,1066,1137,1226,348,1337,1166,1337,1247,1139,1293,1261,1447,1424,1503,1385,401,335,1370,1512,1193,1249,1481,1229,653,77,1290,1
202684,Tristan Thompson,Tristan,1610612739,CLE,34.0,40,31,9,0.775,8.2,0.8,1.8,0.437,0.0,0.1,0.0,0.2,0.8,0.233,0.8,2.6,3.4,0.6,0.4,0.1,0.3,0.2,0.9,0.6,1.7,-2.1,7.3,0,0,6.3,349,201,832,147,1422,1420,1452,832,1337,1442,1337,1372,1091,1431,774,769,791,1285,1377,1436,886,1192,1327,1274,1464,1106,1353,653,77,1391,1
1641774,Tristan Vukcevic,Tristan,1610612764,WAS,22.0,36,7,29,0.194,14.6,3.4,6.9,0.488,1.1,2.9,0.362,1.4,1.9,0.776,0.7,2.9,3.6,1.1,1.2,0.3,0.7,0.3,1.7,1.6,9.2,-3.6,17.0,1,0,17.0,441,902,201,1424,1071,660,735,448,642,728,528,486,526,645,835,641,711,1022,733,1198,335,1029,812,645,665,1262,818,423,77,783,1
1641783,Tristan da Silva,Tristan,1610612753,ORL,24.0,77,37,40,0.481,22.2,2.8,6.6,0.423,1.2,3.3,0.352,0.8,0.9,0.889,1.0,2.4,3.4,1.6,0.8,0.5,0.2,0.3,1.3,0.8,7.6,-1.3,15.4,1,0,15.2,49,126,62,864,675,791,762,954,591,632,607,830,979,194,643,827,784,793,1047,1062,969,907,1099,1097,793,955,898,423,77,870,1
1641803,Tristen Newton,Tristen,1610612750,MIN,24.0,8,2,6,0.25,2.0,0.1,1.0,0.125,0.0,0.4,0.0,0.1,0.1,1.0,0.3,0.3,0.5,0.3,0.3,0.1,0.0,0.1,0.5,0.1,0.4,-0.6,1.5,0,0,1.4,1077,1199,958,1332,1575,1539,1522,1533,1337,1357,1337,1403,1437,1,1346,1533,1517,1456,1433,1407,1346,1275,1463,1486,1546,828,1551,653,77,1556,2
1641803,Tristen Newton,Tristen,1610612754,IND,24.0,5,1,4,0.2,21.6,1.6,8.0,0.2,0.8,4.4,0.182,5.0,5.6,0.893,1.2,2.6,3.8,4.6,2.8,1.2,0.4,0.4,2.4,4.0,9.0,-3.4,22.5,0,0,21.4,1181,1347,1053,1401,710,1163,599,1512,808,423,1265,26,38,189,475,743,658,167,110,274,661,737,320,101,681,1246,572,653,77,576,1
1629660,Ty Jerome,Ty,1610612739,CLE,27.0,70,55,15,0.786,19.9,4.6,8.8,0.516,1.6,3.6,0.439,1.8,2.1,0.872,0.7,1.8,2.5,3.4,1.3,1.1,0.0,0.4,1.5,1.8,12.5,4.3,22.7,0,0,22.3,123,11,547,139,796,435,520,284,409,567,147,340,424,246,839,1062,1056,302,656,330,1324,782,996,583,421,213,560,653,77,536,1
1631102,TyTy Washington Jr.,TyTy,1610612756,PHX,23.0,16,4,12,0.25,7.4,0.9,2.8,0.311,0.3,1.3,0.19,0.2,0.4,0.5,0.3,0.6,0.8,1.0,0.2,0.2,0.0,0.0,0.3,0.3,2.2,0.1,5.0,0,0,4.6,921,1050,679,1332,1451,1400,1327,1426,1183,1112,1258,1368,1336,1293,1346,1470,1482,1055,1474,1374,1346,1370,1526,1455,1424,671,1448,653,77,1460,1
1631102,TyTy Washington Jr.,TyTy,1610612749,MIL,23.0,4,0,4,0.0,18.5,4.3,9.8,0.436,1.0,2.8,0.364,1.8,2.0,0.875,0.3,1.0,1.3,2.3,1.0,0.0,0.0,0.3,0.8,2.3,11.3,-8.5,15.1,0,0,15.8,1288,1471,1053,1471,883,476,456,839,662,765,512,371,446,231,1346,1298,1384,535,833,1440,1346,1029,1385,448,505,1541,920,653,77,838,1
1629076,Tyler Cook,Tyler,1610612738,BOS,27.0,4,1,3,0.25,16.1,2.8,4.5,0.611,0.0,0.0,0.0,1.8,2.5,0.7,2.0,1.8,3.8,1.8,1.0,0.0,0.3,1.0,1.0,2.0,7.3,2.8,14.1,0,0,13.3,1288,1347,1127,1332,996,807,1044,99,1337,1471,1337,371,326,940,183,1063,676,707,833,1440,921,119,1224,490,827,319,961,653,77,970,1
1629639,Tyler Herro,Tyler,1610612748,MIA,25.0,77,37,40,0.481,35.4,8.5,17.9,0.472,3.3,8.7,0.375,3.7,4.2,0.878,0.5,4.7,5.2,5.5,2.6,0.9,0.2,1.0,1.1,2.9,23.9,1.3,39.2,9,0,40.1,49,126,62,864,49,56,58,559,44,42,445,74,103,226,1148,231,372,98,151,551,994,172,1193,273,53,473,104,109,77,67,1
1642278,Tyler Kolek,Tyler,1610612752,NYK,24.0,46,30,16,0.652,9.4,0.9,2.8,0.339,0.4,1.4,0.303,0.5,0.6,0.821,0.2,0.8,1.0,2.3,0.5,0.4,0.1,0.1,0.8,0.7,2.8,-0.5,8.4,0,0,7.5,311,210,510,331,1364,1391,1334,1352,1061,1068,926,1092,1202,412,1409,1424,1468,526,1247,1151,1192,1305,1380,1216,1353,793,1292,653,77,1326,1
27798,Tyler Robertson,Tyler,1610612764,WAS,24.0,1,1,0,1.0,14.3,1.0,4.0,0.25,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,12.0,10.1,0,0,8.0,1528,1347,1529,1,1088,1329,1113,1484,1337,701,1337,1437,1453,1437,1465,595,870,1055,1495,401,1346,1370,1224,490,1430,17,1192,653,77,1290,1
1641890,Tyler Smith,Tyler,1610612749,MIL,20.0,28,12,16,0.429,8.3,1.5,3.5,0.443,0.7,2.0,0.364,0.2,0.3,0.667,0.6,1.5,2.1,0.4,0.5,0.3,0.3,0.1,0.6,0.3,4.0,-0.9,8.4,0,0,8.4,655,660,510,979,1421,1177,1212,767,856,943,512,1351,1371,1037,953,1143,1130,1404,1308,1292,817,1345,1440,1437,1199,867,1291,653,77,1274,1
1642457,Tyler Thomas,Tyler,1610612741,CHI,25.0,2,0,2,0.0,5.9,1.5,2.0,0.75,1.0,1.5,0.667,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,4.0,-0.5,5.5,0,0,6.5,1446,1471,1251,1471,1490,1183,1419,13,662,1045,26,1437,1453,1437,1465,1298,1424,1323,1260,1440,1346,1370,1463,1504,1199,793,1437,653,77,1376,1
1642459,Tyler Wahl,Tyler,1610612750,MIN,24.0,1,1,0,1.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,1528,1347,1529,1,1567,1541,1571,1541,1337,1471,1337,1437,1453,1437,1465,1541,1556,1503,1495,1440,1346,1370,1539,1504,1549,691,1569,653,77,1571,1
1642465,Tylor Perry,Tylor,1610612761,TOR,24.0,4,1,3,0.25,7.3,0.5,2.3,0.222,0.5,2.0,0.25,0.3,0.5,0.5,0.5,0.3,0.8,1.5,0.3,0.0,0.0,0.0,1.0,0.3,1.8,0.3,4.7,0,0,4.5,1288,1347,1127,1332,1455,1478,1400,1503,978,903,1112,1315,1261,1293,1067,1533,1490,816,1433,1440,1346,1370,1224,1455,1458,648,1462,653,77,1463,1
1642436,Tyrece Radford,Tyrece,1610612759,SAS,26.0,5,2,3,0.4,8.7,1.2,2.6,0.462,0.0,0.4,0.0,1.2,1.2,1.0,1.4,0.8,2.2,0.6,0.8,0.0,0.0,0.0,0.8,1.2,3.6,-3.2,6.3,0,0,6.4,1181,1199,1127,1035,1407,1288,1357,629,1337,1348,1337,605,797,1,370,1409,1117,1285,1027,1440,1346,1370,1361,851,1259,1225,1396,653,77,1383,1
1630169,Tyrese Haliburton,Tyrese,1610612754,IND,25.0,73,46,27,0.63,33.6,6.5,13.8,0.473,3.0,7.7,0.388,2.6,3.0,0.851,0.6,3.0,3.5,9.2,1.6,1.4,0.7,0.3,1.3,2.4,18.6,3.0,41.4,31,0,38.6,92,48,236,371,126,190,197,552,76,79,364,186,228,302,993,637,734,8,469,158,334,925,1098,404,163,288,70,18,77,91,1
1631213,Tyrese Martin,Tyrese,1610612751,BKN,26.0,65,19,46,0.292,21.7,3.2,7.7,0.412,1.7,4.7,0.357,0.8,1.0,0.794,0.9,2.7,3.6,1.9,1.2,0.6,0.2,0.2,1.3,0.9,8.9,-4.3,17.1,1,0,17.6,170,389,36,1282,701,705,637,1046,378,385,556,831,883,544,690,715,718,656,719,914,1152,1079,1097,1068,696,1344,811,423,77,754,1
1630178,Tyrese Maxey,Tyrese,1610612755,PHI,24.0,52,20,32,0.385,37.7,9.2,21.0,0.437,3.1,9.2,0.337,4.9,5.6,0.879,0.3,3.1,3.3,6.1,2.4,1.8,0.4,1.2,2.2,4.3,26.3,-2.4,43.6,8,1,43.2,279,355,148,1111,10,31,10,829,59,24,701,34,40,222,1324,588,792,62,193,72,658,65,419,77,21,1137,42,119,29,39,1
1642487,Tyrese Samuel,Tyrese,1610612756,PHX,25.0,4,2,2,0.5,8.5,0.8,1.3,0.6,0.0,0.3,0.0,0.3,1.0,0.25,0.8,0.8,1.5,0.3,0.0,0.3,0.5,0.0,1.0,0.5,1.8,2.8,6.2,0,0,5.0,1288,1199,1251,722,1414,1424,1510,112,1337,1389,1337,1315,893,1420,805,1427,1304,1456,1495,1292,476,1370,1224,1296,1458,319,1401,653,77,1444,1
1630623,Tyson Etienne,Tyson,1610612751,BKN,25.0,7,1,6,0.143,21.6,2.4,7.4,0.327,1.9,6.3,0.295,1.1,1.4,0.8,0.4,0.9,1.3,1.7,1.1,0.4,0.1,0.3,2.4,1.1,7.9,-10.0,12.5,0,0,13.9,1115,1347,958,1451,709,902,674,1396,303,168,959,640,704,503,1164,1395,1374,726,764,1113,1172,978,303,889,773,1562,1037,653,77,944,1
1642488,Tyson Walker,Tyson,1610612756,PHX,24.0,5,2,3,0.4,14.8,2.0,6.2,0.323,1.0,3.4,0.294,0.4,0.8,0.5,0.6,1.0,1.6,2.6,0.6,1.8,0.2,0.4,2.2,1.2,5.4,7.0,16.6,0,0,14.6,1181,1199,1127,1035,1063,1003,816,1407,662,611,968,1194,1052,1293,956,1298,1276,443,1184,58,1025,737,430,851,1036,77,836,653,77,906,1
1642435,Tyson Ward,Tyson,1610612759,SAS,27.0,7,4,3,0.571,20.6,2.9,9.3,0.308,1.1,5.0,0.229,1.1,1.6,0.727,0.9,2.7,3.6,0.7,1.6,0.6,0.6,0.6,2.6,1.3,8.0,-6.6,15.2,0,0,15.7,1115,1050,1127,580,756,784,483,1428,603,326,1185,640,650,846,729,709,728,1231,509,926,422,487,229,808,759,1492,915,653,77,842,1
