PLAYER_NAME,PLAYER_ID,TEAM_ID,GP,PTS,REB,AST,STL,BLK,FGM,FGA,FG_PCT,FTM,FTA,FT_PCT,FG3M,TOV
,1641872,1610612758,5,4.0,4.6,1.0,0.2,0.8,1.6,3.6,0.444,0.8,1.0,0.8,0.0,1.4
,196294944,1610612755,4,17.3,3.3,6.0,0.5,0.0,6.0,14.3,0.421,4.3,5.3,0.81,1.0,2.3
,1642479,1610612742,3,1.0,1.7,0.0,0.0,0.7,0.3,1.0,0.333,0.3,0.7,0.5,0.0,0.0
,1642478,1610612742,3,0.0,0.0,1.3,0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
,1642448,1610612754,2,5.0,0.0,1.0,1.0,0.0,2.0,6.5,0.308,0.5,0.5,1.0,0.5,0.5
,1642494,1610612740,1,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
,1642482,1610612742,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.J. Lawson,1630639,1610612761,26,9.1,3.3,1.2,0.5,0.2,3.1,7.3,0.421,1.7,2.4,0.683,1.3,0.6
A.J. Lawson,1630639,1610612742,5,18.4,5.0,1.6,1.2,0.2,6.2,13.2,0.47,4.4,6.2,0.71,1.6,1.2
AJ Green,1631260,1610612749,73,7.4,2.4,1.5,0.5,0.1,2.5,5.8,0.429,0.3,0.4,0.815,2.1,0.5
AJ Griffin,1631100,1610612745,5,11.6,3.0,0.8,1.2,0.8,4.2,10.8,0.389,1.8,1.8,1.0,1.4,1.4
AJ Johnson,1642358,1610612764,29,7.6,2.0,2.6,0.4,0.1,2.8,7.3,0.385,1.1,1.3,0.865,0.8,1.2
AJ Johnson,1642358,1610612749,5,11.2,3.4,2.8,0.6,0.4,4.0,12.4,0.323,1.2,2.0,0.6,2.0,2.4
Aaron Estrada,1642401,1610612765,5,5.6,1.8,2.2,0.2,0.0,2.2,5.4,0.407,0.4,0.4,1.0,0.8,1.6
Aaron Gordon,203932,1610612743,51,14.7,4.8,3.2,0.5,0.3,5.2,9.7,0.531,2.8,3.5,0.81,1.5,1.4
Aaron Holiday,1628988,1610612745,62,5.5,1.3,1.3,0.3,0.2,1.9,4.3,0.437,0.5,0.7,0.829,1.2,0.6
Aaron Nesmith,1630174,1610612754,45,12.0,4.0,1.2,0.8,0.4,4.3,8.4,0.507,1.6,1.8,0.913,1.9,0.8
Aaron Wiggins,1630598,1610612760,76,12.0,3.9,1.8,0.8,0.2,4.7,9.6,0.488,1.0,1.2,0.831,1.7,0.9
Adam Flagler,1641745,1610612760,42,3.5,1.0,0.5,0.3,0.1,1.3,3.9,0.329,0.1,0.2,0.625,0.8,0.2
Adama Sanogo,1641766,1610612741,8,8.5,5.1,0.5,0.9,0.5,3.4,5.5,0.614,1.8,2.0,0.875,0.0,1.5
Ade Murkey,1630278,1610612749,1,7.0,2.0,1.0,0.0,0.0,3.0,5.0,0.6,0.0,0.0,0.0,1.0,0.0
Adem Bona,1641737,1610612755,66,5.8,4.3,0.5,0.5,1.4,2.3,3.4,0.685,1.2,1.7,0.699,0.0,1.2
Adonis Arms,1631317,1610612758,3,6.0,2.3,1.0,0.0,0.3,2.3,4.0,0.583,0.7,1.3,0.5,0.7,1.3
Ahmad Caver,1629958,1610612758,2,3.5,1.0,2.5,0.5,0.0,1.5,3.0,0.5,0.0,0.0,0.0,0.5,0.5
Ajay Mitchell,1642349,1610612760,41,7.7,2.0,2.1,0.8,0.2,3.0,6.0,0.504,1.0,1.2,0.854,0.7,1.0
Al Horford,201143,1610612738,60,9.0,6.2,2.1,0.6,0.9,3.3,7.7,0.423,0.6,0.6,0.895,1.9,0.8
Alan Griffin,1630825,1610612752,1,6.0,3.0,0.0,3.0,1.0,2.0,4.0,0.5,1.0,2.0,0.5,1.0,2.0
Alec Burks,202692,1610612748,49,7.3,2.5,1.1,0.6,0.1,2.3,5.5,0.424,0.8,1.0,0.776,1.8,0.6
Alex Caruso,1627936,1610612760,54,7.1,2.9,2.5,1.6,0.6,2.6,5.8,0.446,0.8,0.9,0.824,1.1,0.7
Alex Ducas,1642505,1610612760,21,1.7,1.2,0.2,0.2,0.0,0.6,1.4,0.4,0.1,0.1,1.0,0.5,0.2
Alex Fudge,1641788,1610612742,5,4.6,3.2,1.2,0.6,0.4,2.2,5.8,0.379,0.0,0.4,0.0,0.2,0.6
Alex Len,203458,1610612747,46,1.6,2.1,0.8,0.2,0.5,0.7,1.4,0.508,0.2,0.4,0.471,0.0,0.4
Alex Reese,1642024,1610612755,15,5.1,3.1,0.3,0.7,0.7,1.7,3.6,0.481,0.6,0.8,0.75,1.0,0.4
Alex Reese,1642024,1610612757,5,7.6,2.2,0.4,0.6,0.4,2.4,7.4,0.324,1.2,1.4,0.857,1.6,1.4
Alex Sarr,1642259,1610612764,71,12.5,6.6,2.5,0.7,1.6,4.7,12.3,0.383,1.6,2.4,0.675,1.5,1.7
Alondes Williams,1631214,1610612748,8,11.5,4.0,4.4,0.9,0.4,4.1,10.3,0.402,1.4,2.0,0.688,1.9,1.9
Alondes Williams,1631214,1610612765,1,5.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0
Alperen Sengun,1630578,1610612745,76,19.1,10.3,4.9,1.1,0.8,7.5,15.0,0.496,3.9,5.6,0.692,0.3,2.6
Amari Bailey,1641735,1610612746,5,6.0,0.8,1.8,0.2,0.2,1.8,4.6,0.391,1.8,2.8,0.643,0.6,1.4
Amari Kelly,1642493,1610612752,1,4.0,5.0,0.0,0.0,0.0,2.0,3.0,0.667,0.0,0.0,0.0,0.0,1.0
Amen Thompson,1641708,1610612745,69,14.1,8.2,3.8,1.4,1.3,5.6,10.1,0.557,2.4,3.6,0.684,0.4,2.0
Aminu Mohammed,1631198,1610612755,1,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,1629599,1610612746,72,9.7,2.2,1.1,0.6,0.1,3.3,7.1,0.471,1.6,1.8,0.891,1.4,0.6
Andre Drummond,203083,1610612755,40,7.3,7.8,0.9,1.0,0.5,2.9,5.9,0.5,1.4,2.3,0.622,0.1,1.4
Andre Jackson Jr.,1641748,1610612749,70,3.5,2.7,1.3,0.5,0.2,1.4,3.0,0.478,0.2,0.3,0.5,0.4,1.0
Andrew Funk,1641847,1610612741,5,2.4,0.8,0.6,0.6,0.0,0.6,3.6,0.167,0.6,0.8,0.75,0.6,0.2
Andrew Nembhard,1629614,1610612754,65,10.0,3.3,5.0,1.2,0.2,3.8,8.3,0.458,1.7,2.1,0.794,0.8,1.7
Andrew Wiggins,203952,1610612748,60,18.0,4.5,2.6,1.0,0.8,6.3,14.0,0.448,3.3,4.3,0.763,2.2,1.7
Anfernee Simons,1629014,1610612757,70,19.3,2.7,4.8,0.9,0.1,6.8,16.1,0.426,2.5,2.8,0.902,3.1,2.0
